Sample Detector Cts
caseA gene_pr 19.5770369645097
caseA gene_jw 22.0646365991057
caseA gene_fu 19.450310574944
caseA gene_nu 21.7431540095199
caseA gene_vx 16.4588249036377
caseA gene_fm 19.8416730753588
caseA gene_hm 21.7317876536367
caseA gene_ag 20.2468576911983
caseA gene_nv 19.396291195575
caseA gene_mz 19.322440990093
caseA gene_ln 17.197783560288
caseA gene_os 19.5825314175257
caseA gene_ho 21.7966534656139
caseA gene_hr 20.338783539671
caseA gene_ou 23.211234398762
caseA gene_ef 15.9271240241437
caseA gene_fy 19.8462468334483
caseA gene_iq 23.6135953606203
caseA gene_go 22.4317019074613
caseA gene_tx 21.5165269349074
caseA gene_jy 20.1759907685604
caseA gene_ku 21.7332604807925
caseA gene_ex 20.6354301584888
caseA gene_iu 17.6923861839611
caseA gene_cy 23.0612680139658
caseA gene_ew 19.3886532394784
caseA gene_no 19.3139192979545
caseA gene_hn 20.0403953418545
caseA gene_bh 17.7402909126513
caseA gene_ip 18.4316592530272
caseA gene_cm 17.0383097270291
caseA gene_gy 19.1432176728091
caseA gene_ai 17.1402625014622
caseA gene_mo 19.5469717942111
caseA gene_fj 20.8572164216481
caseA gene_lx 20.589531771743
caseA gene_mw 20.928021852436
caseA gene_wy 21.6992767822929
caseA gene_qt 19.4897796389107
caseA gene_bm 22.7470723882639
caseA gene_iv 25.1386697119005
caseA gene_ry 19.772761909749
caseA gene_gw 17.9455683863211
caseA gene_jx 18.7371840182966
caseA gene_ox 19.9578331158927
caseA gene_hk 23.1712187742716
caseA gene_uw 21.2094373238891
caseA gene_av 17.343437667567
caseA gene_ds 19.8673498854476
caseA gene_lp 20.0984437537486
controlA gene_pr 18.7652597802219
controlA gene_jw 18.3222341637347
controlA gene_fu 18.7186477532976
controlA gene_nu 23.0319892454732
controlA gene_vx 19.4598753452135
controlA gene_fm 18.8626648600795
controlA gene_hm 22.1161797160706
controlA gene_ag 20.3122748187506
controlA gene_nv 19.4994809980066
controlA gene_mz 20.4748754972695
controlA gene_ln 21.9863130241865
controlA gene_os 19.9552770785586
controlA gene_ho 17.99470888818
controlA gene_hr 24.0471222641994
controlA gene_ou 20.2049174684279
controlA gene_ef 18.1885365258715
controlA gene_fy 18.4201767318793
controlA gene_iq 17.3023818325626
controlA gene_go 22.9590864839559
controlA gene_tx 20.0443663966849
controlA gene_jy 20.3528673812208
controlA gene_ku 20.3565806694421
controlA gene_ex 18.8808997137651
controlA gene_iu 19.0567034321854
controlA gene_cy 17.241704419805
controlA gene_ew 19.1973968224461
controlA gene_no 22.4530208126427
controlA gene_hn 22.2212499385552
controlA gene_bh 19.1840448773277
controlA gene_ip 19.0038068418632
controlA gene_cm 20.1611458746131
controlA gene_gy 19.0414833577219
controlA gene_ai 22.8648459053688
controlA gene_mo 17.9113008239401
controlA gene_fj 17.8624493510341
controlA gene_lx 20.073215881592
controlA gene_mw 21.7461607693213
controlA gene_wy 20.0642125451732
controlA gene_qt 18.8100181780276
controlA gene_bm 19.7301720976511
controlA gene_iv 18.9391185470552
controlA gene_ry 18.963682080186
controlA gene_gw 17.1459327781696
controlA gene_jx 16.4666726004723
controlA gene_ox 18.640380196038
controlA gene_hk 17.8881108270523
controlA gene_uw 18.6580768587596
controlA gene_av 20.2539954977191
controlA gene_ds 24.0338659917749
controlA gene_lp 17.4999896026714
